uzytkownicy,trans_sek,sr_czas_s,najdluzszy_s,dostepnosc_pct
50,		9.65,		4.29,		6.04,			100.00
100,		9.75,		6.42,		10.31,			100.00
150,		9.67,		6.83,		14.13,			100.00
200,		8.55,		8.36,		14.25,			100.00
250,		5.11,		10.28,		13.70,			100.00
300,		10.78,		7.09,		14.10,			100.00
350,		11.23,		7.22,		13.85,			100.00
400,		11.16,		7.70,		14.72,			100.00
450,		10.05,		7.76,		14.44,			100.00
500,		9.63,		7.58,		13.87,			100.00
650,		10.83,		7.51,		14.80,			100.00
800,		10.76,		6.93,		13.55,			100.00
950,		10.89,		7.84,		15.28,			100.00
1100,		10.81,		7.29,		14.78,			100.00
1250,		7.87,		8.63,		14.16,			100.00
1400,		11.05,		7.44,		14.73,			100.00
1550,		10.65,		7.64,		14.61,			100.00
1700,		10.78,		7.49,		14.70,			100.00
1850,		10.97,		7.24,		14.31,			100.00
2000,		10.80,		7.03,		13.75,			100.00
